Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-8.2500e-03,-0.0382813,-0.000556563
-8.2400e-03,-0.0467188,-0.000320625
-8.2300e-03,-0.0451563,0.000432813
-8.2200e-03,-0.0496875,-8.65625e-05
-8.2100e-03,-0.0485938,0.00039375
-8.2000e-03,-0.055625,7.28125e-05
-8.1900e-03,-0.0476562,-0.000367813
-8.1800e-03,-0.0479688,0.000685938
-8.1700e-03,-0.0485938,-0.000855625
-8.1600e-03,-0.0525,-0.000123125
-8.1500e-03,-0.0498438,0.000161563
-8.1400e-03,-0.055625,-0.000403125
-8.1300e-03,-0.0592188,-0.000825625
-8.1200e-03,-0.0642188,-0.00095125
-8.1100e-03,-0.0425,-0.000156563
-8.1000e-03,-0.0526563,-9.65625e-05
-8.0900e-03,-0.0515625,0.00011125
-8.0800e-03,-0.0464062,-0.000639063
-8.0700e-03,-0.04375,0.000128125
-8.0600e-03,-0.054375,-0.000741875
-8.0500e-03,-0.0565625,-0.000425313
-8.0400e-03,-0.0460938,-4.75e-05
-8.0300e-03,-0.0592188,0.0003425
-8.0200e-03,-0.0564063,-7.09375e-05
-8.0100e-03,-0.0384375,5.9375e-06
-8.0000e-03,-0.0535937,0.000113438
-7.9900e-03,-0.0445313,-0.000148125
-7.9800e-03,-0.0539063,-0.000355313
-7.9700e-03,-0.0523437,1.625e-05
-7.9600e-03,-0.056875,8e-05
-7.9500e-03,-0.0579687,-0.000726563
-7.9400e-03,-0.0517188,-0.000368438
-7.9300e-03,-0.0476562,-0.00018
-7.9200e-03,-0.036875,-0.000332188
-7.9100e-03,-0.0484375,0.000163125
-7.9000e-03,-0.0546875,0.000313438
-7.8900e-03,-0.0498438,-0.000616563
-7.8800e-03,-0.045,-0.000302188
-7.8700e-03,-0.0682813,-0.00028125
-7.8600e-03,-0.06125,-0.000265313
-7.8500e-03,-0.0514063,-0.00046375
-7.8400e-03,-0.056875,-6.8125e-05
-7.8300e-03,-0.0628125,-2.625e-05
-7.8200e-03,-0.058125,-0.000345313
-7.8100e-03,-0.0470312,-0.000570938
-7.8000e-03,-0.0471875,5.15625e-05
-7.7900e-03,-0.0445313,-0.0005575
-7.7800e-03,-0.0535937,-0.000256563
-7.7700e-03,-0.0575,9.875e-05
-7.7600e-03,-0.0571875,0.000330313
-7.7500e-03,-0.055,-0.00052875
-7.7400e-03,-0.0534375,0.000294062
-7.7300e-03,-0.04875,-0.000137813
-7.7200e-03,-0.0410937,4.3125e-05
-7.7100e-03,-0.0529687,0.000108438
-7.7000e-03,-0.0592188,0.000369688
-7.6900e-03,-0.0514063,-0.000207188
-7.6800e-03,-0.0501562,0.0001425
-7.6700e-03,-0.0470312,-0.00018875
-7.6600e-03,-0.0515625,-0.000563125
-7.6500e-03,-0.04375,-0.000461563
-7.6400e-03,-0.0482812,-0.000265625
-7.6300e-03,-0.0617188,-0.000133438
-7.6200e-03,-0.0415625,-0.000475938
-7.6100e-03,-0.0548437,-4.3125e-05
-7.6000e-03,-0.0567187,5.71875e-05
-7.5900e-03,-0.0596875,-9.84375e-05
-7.5800e-03,-0.0639062,-0.000265625
-7.5700e-03,-0.051875,0.000339063
-7.5600e-03,-0.051875,-0.00055
-7.5500e-03,-0.05125,-0.000242813
-7.5400e-03,-0.0440625,-0.00081375
-7.5300e-03,-0.0545313,-0.00057625
-7.5200e-03,-0.055,-0.000574063
-7.5100e-03,-0.0510938,-0.000347188
-7.5000e-03,-0.0575,-0.000531875
